Features: 16,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.2, Gamma: 7e-05",14949,47,0,16,99.68691713296029,0,40,
"Nu: 0.2, Gamma: 8e-05",14949,47,0,16,99.68691713296029,0,40,
"Nu: 0.2, Gamma: 9e-05",14949,47,0,16,99.68691713296029,0,40,
"Nu: 0.2, Gamma: 0.0001",14949,47,0,16,99.68691713296029,0,40,
"Nu: 0.2, Gamma: 0.0002",14949,51,0,12,99.66027178257394,0,40,
"Nu: 0.2, Gamma: 0.0003",14949,51,0,12,99.66027178257394,0,40,
"Nu: 0.2, Gamma: 0.0004",14949,52,0,11,99.65361044497735,0,40,
"Nu: 0.2, Gamma: 0.005",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.2, Gamma: 0.05",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.2, Gamma: 0.0625",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.2, Gamma: 0.1",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.2, Gamma: 0.2",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.2, Gamma: 0.5",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.2, Gamma: 0.7",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.2, Gamma: 0.9",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.2, Gamma: 0.99",14949,63,0,0,99.58033573141488,0,40,
"Nu: 0.5, Gamma: 1e-05",14949,37,0,26,99.75353050892619,0,40,
"Nu: 0.5, Gamma: 2e-05",14949,40,0,23,99.73354649613643,0,40,
"Nu: 0.5, Gamma: 3e-05",14949,45,0,18,99.70023980815348,0,40,
"Nu: 0.5, Gamma: 4e-05",14949,46,0,17,99.69357847055689,0,40,
"Nu: 0.5, Gamma: 5e-05",14949,47,0,16,99.68691713296029,0,40,
"Nu: 0.5, Gamma: 6e-05",14949,47,0,16,99.68691713296029,0,40,
"Nu: 0.5, Gamma: 7e-05",14949,47,0,16,99.68691713296029,0,40,
"Nu: 0.5, Gamma: 8e-05",14949,47,0,16,99.68691713296029,0,40,
