ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
58,14.0,2.0,15.0,9.0,8.0,158.0,6.0,5.0,3.0,24.0,8.0,3.0,5.0,11.0,8.0,fluidanimate
89,20.0,2.0,22.0,15.0,11.0,361.0,12.0,6.0,6.0,26.0,16.0,7.0,11.0,13.0,12.0,fluidanimate
67,15.0,1.0,18.0,16.0,14.0,201.0,9.0,6.0,2.0,23.0,11.0,4.0,12.0,12.0,10.0,fluidanimate
57,15.0,4.0,16.0,13.0,14.0,310.0,9.0,6.0,4.0,14.0,13.0,5.0,14.0,16.0,10.0,fluidanimate
54,14.0,2.0,9.0,7.0,7.0,153.0,5.0,3.0,3.0,11.0,6.0,3.0,7.0,7.0,6.0,fluidanimate
58,31.0,4.0,33.0,14.0,12.0,306.0,14.0,10.0,6.0,33.0,12.0,3.0,13.0,14.0,14.0,fluidanimate
63,27.0,2.0,21.0,14.0,10.0,166.0,11.0,6.0,6.0,19.0,13.0,3.0,16.0,14.0,14.0,fluidanimate
93,55.0,9.0,62.0,21.0,16.0,346.0,12.0,8.0,11.0,44.0,12.0,8.0,13.0,13.0,11.0,fluidanimate
51,39.0,4.0,43.0,16.0,15.0,173.0,14.0,3.0,1.0,36.0,11.0,4.0,14.0,16.0,14.0,fluidanimate
2319,1229.0,887.0,1056.0,1451.0,1080.0,1485.0,883.0,1489.0,882.0,1390.0,955.0,1490.0,1171.0,1483.0,998.0,fluidanimate
603,325.0,36.0,367.0,356.0,382.0,418.0,368.0,333.0,338.0,380.0,375.0,990.0,436.0,354.0,408.0,fluidanimate
997,478.0,9.0,523.0,482.0,544.0,539.0,405.0,495.0,560.0,459.0,564.0,614.0,720.0,529.0,511.0,fluidanimate
646,399.0,23.0,356.0,355.0,378.0,390.0,322.0,339.0,374.0,329.0,346.0,361.0,443.0,360.0,650.0,fluidanimate
1024,551.0,28.0,577.0,521.0,568.0,694.0,688.0,548.0,620.0,599.0,600.0,620.0,870.0,683.0,541.0,fluidanimate
788,426.0,65.0,358.0,412.0,396.0,568.0,404.0,423.0,1041.0,465.0,390.0,497.0,547.0,531.0,334.0,fluidanimate
